Actual,Predicted,Error
64.51,64.51,0.0
69.95,69.95,0.0
92.79,92.79,0.0
109.66,109.66,0.0
116.5,116.5,0.0
124.21,124.20999999999998,-1.4210854715202004e-14
123.45,123.44999999999999,-1.4210854715202004e-14
120.31,120.31,0.0
108.75,108.75,0.0
97.8,97.8,0.0
88.1,88.1,0.0
81.64,81.64,0.0
83.82,83.82,0.0
85.14,85.14,0.0
90.41,90.41,0.0
105.33,105.33,0.0
108.1,108.1,0.0
114.92,114.91999999999999,-1.4210854715202004e-14
112.2,112.19999999999999,-1.4210854715202004e-14
114.65,114.65,0.0
107.47,107.47,0.0
92.59,92.59,0.0
90.64,90.64,0.0
84.32,84.32,0.0
88.05,83.98730383279775,-4.0626961672022475
116.13,91.86937538616678,-24.260624613833215
127.02,115.26450347464018,-11.755496525359817
133.68,135.32500704866783,1.6450070486678214
139.93,137.04203526245183,-2.887964737548174
144.17,132.8819057803688,-11.288094219631176
148.35,125.73572783711722,-22.61427216288277
127.28,130.95558104772167,3.675581047721664
121.23,118.67477855334826,-2.5552214466517427
110.23,104.64642299388866,-5.583577006111341
106.87,103.81684310261983,-3.053156897380177
94.48,105.0621627179624,10.58216271796239
106.37,98.69892691918992,-7.671073080810089
107.4,105.0322944798192,-2.367705520180806
113.35,114.27506885384403,0.9250688538440386
117.2,118.74944360343036,1.5494436034303618
128.94,123.33232686887288,-5.607673131127115
120.38,110.29960873303204,-10.08039126696795
116.13,111.43973816369888,-4.690261836301119
109.22,102.71206032486512,-6.507939675134878
98.69,93.76664104442133,-4.923358955578664
89.56,84.79148288562973,-4.768517114370269
89.11,87.56075708876912,-1.549242911230877
88.72,87.67539672687607,-1.0446032731239256
96.58,99.23112377344252,2.651123773442521
114.2,109.99320739894688,-4.206792601053124
129.62,130.47355367019534,0.853553670195339
138.29,138.2504588344322,-0.03954116556778331
139.0,142.8814452269272,3.8814452269272124
140.76,133.5763899541523,-7.183610045847701
138.09,130.5418248443684,-7.548175155631611
128.08,126.31901762534034,-1.760982374659676
119.64,119.22822605294888,-0.4117739470511168
118.42,109.69402269787236,-8.725977302127646
115.75,110.58985709974075,-5.160142900259245
117.98,111.67510430067577,-6.304895699324234
119.77,119.96722899876386,0.1972289987638618
122.38,123.71392610173706,1.3339261017370632
124.24,121.23374291182517,-3.00625708817482
127.7,123.5610683895664,-4.138931610433602
131.93,120.35467609466909,-11.575323905330919
126.64,115.9260953196409,-10.713904680359107
115.03,112.52371501418901,-2.506284985810993
106.94,103.54055070840246,-3.3994492915975343
96.86,94.64386184969939,-2.2161381503006083
78.79,90.72485504465548,11.934855044655478
85.95,83.43517538122254,-2.5148246187774674
90.63,90.4758335868071,-0.1541664131928968
110.53,102.06917041984292,-8.460829580157082
123.91,120.94655550183205,-2.963444498167945
135.9,139.8656542781715,3.9656542781714847
147.86,141.2448655527573,-6.615134447242724
151.05,146.42161217330494,-4.628387826695075
142.58,143.46374933777724,0.8837493377772319
136.63,134.71305763262956,-1.9169423673704387
120.57,123.8415416478172,3.2715416478172017
113.02,114.29268753515225,1.272687535152258
112.61,106.96604001958974,-5.6439599804102585
109.12,114.34221353105283,5.22221353105283
112.92,111.37464662131092,-1.5453533786890858
114.77,119.6525189100737,4.882518910073699
124.24,125.25594524400927,1.0159452440092736
123.66,126.83759496739953,3.1775949673995285
119.88,123.40718854530115,3.5271885453011578
114.5,114.23261100034611,-0.26738899965388896
102.28,98.75660139110332,-3.5233986088966844
83.24,91.86922437697031,8.629224376970313
74.97,80.2975440489378,5.327544048937796
73.27,70.46503425176742,-2.8049657482325756
73.56,77.96193936486057,4.401939364860567
82.42,84.25017235135113,1.8301723513511234
100.85,99.19482603197395,-1.6551739680260482
114.28,118.12718938500277,3.847189385002764
133.14,132.55975134052076,-0.5802486594792242
135.18,144.56349817798775,9.383498177987747
133.42,140.14650420588393,6.726504205883941
125.85,126.06299287309756,0.2129928730975621
121.81,120.69742101098316,-1.1125789890168392
117.91,111.18197936591847,-6.728020634081531
116.25,111.15933801411978,-5.090661985880217
117.44,110.65309020991003,-6.786909790089965
118.35,113.7237616703348,-4.626238329665199
120.25,117.97638753618085,-2.2736124638191484
128.12,123.3608854911225,-4.759114508877502
123.12,124.87034423308498,1.7503442330849737
117.91,122.77448096934015,4.86448096934015
108.05,110.09376952641148,2.043769526411481
97.32,99.21657517186237,1.8965751718623807
88.29,90.10505372018575,1.8150537201857446
82.04,85.20794361661473,3.1679436166147212
78.16,78.63984701141706,0.4798470114170641
138.12,81.12791588805253,-56.99208411194748
145.43,121.71175925865157,-23.71824074134844
146.52,152.78249511710965,6.262495117109637
153.42,150.3669077311943,-3.053092268805699
139.98,151.3675477314491,11.387547731449104
133.45,125.7750709088223,-7.674929091177688
129.97,131.83616235727405,1.8661623572740496
124.89,119.68687193982697,-5.203128060173029
117.34,110.51976624571694,-6.820233754283066
113.29,112.7297442892295,-0.5602557107705053
115.26,123.29015311187055,8.030153111870547
116.68,112.69239669514451,-3.9876033048554973
125.93,129.79227794274465,3.8622779427446403
131.38,130.4123370933941,-0.9676629066059093
122.79,126.57768641477062,3.7876864147706186
110.68,120.52061417412114,9.840614174121129
106.21,106.05402180578282,-0.15597819421716963
95.84,87.76528088676471,-8.07471911323529
90.59,95.71553867604774,5.125538676047739
91.14,81.13622705330653,-10.003772946693474
94.93,83.54442658194833,-11.385573418051678
97.58,102.33459432819886,4.754594328198863
114.48,111.5752494035653,-2.9047505964347096
137.95,123.31664313368304,-14.633356866316944
140.47,145.93018013495592,5.46018013495592
145.67,148.41602888453664,2.7460288845366563
141.88,145.5213924454127,3.6413924454126914
152.48,134.96092431877182,-17.519075681228173
125.24,138.7531793744663,13.513179374466304
117.44,125.31744168914568,7.877441689145684
103.19,107.97749602902533,4.787496029025334
103.08,102.14402308221963,-0.9359769177803656
104.71,102.88180805239001,-1.8281919476099802
104.28,115.31884019762626,11.038840197626257
104.34,112.28998900658024,7.949989006580239
115.3,112.57383927603246,-2.7261607239675385
119.53,116.46173206068863,-3.0682679393113688
107.97,123.49662059307695,15.526620593076956
101.77,102.10038408585426,0.3303840858542628
89.68,91.53303302274237,1.8530330227423661
91.11,75.17578416876023,-15.934215831239769
79.69,82.69653037227289,3.0065303722728913
66.83,81.61195113525285,14.781951135252854
69.19,69.50448923060907,0.31448923060906964
66.23,79.51841382326838,13.288413823268371
66.66,88.20707940293651,21.547079402936518
67.57,92.68414381155642,25.11414381155643
76.74,96.46548506857323,19.725485068573235
99.13,95.14383224115399,-3.9861677588460083
94.03,105.71231635694826,11.682316356948263
79.33,108.75369721644915,29.423697216449156
66.51,86.44081799527518,19.930817995275177
56.48,65.63543189773202,9.155431897732022
56.37,59.8290226939457,3.4590226939457054
61.74,61.46108967126962,-0.27891032873038313
68.89,68.9355948326317,0.04559483263169284
86.45,74.49051500465626,-11.959484995343743
93.67,89.70953681539577,-3.9604631846042366
95.02,103.41573788198758,8.395737881987586
92.58,102.85673700891596,10.276737008915958
89.79,95.70527714282323,5.9152771428232285
79.6,81.33229201375073,1.7322920137507367
76.07,77.6077273565052,1.5377273565052008
71.59,77.6236094676812,6.033609467681202
71.17,71.45282353470265,0.28282353470264354
68.78,67.6493249781443,-1.1306750218556942
66.56,74.12281797000458,7.5628179700045735
73.34,69.89804394563888,-3.4419560543611283
77.89,81.45850098215742,3.568500982157417
86.32,86.25174677843336,-0.0682532215666356
84.02,82.55729215510101,-1.4627078448989863
82.15,78.4154980684225,-3.734501931577512
76.76,76.39987971517473,-0.36012028482527114
69.41,71.10914402033212,1.6991440203321275
63.41,69.40081642689802,5.9908164268980215
57.08,63.77630142280486,6.696301422804865
55.95,56.73428011233456,0.7842801123345566
57.94,59.96084027177505,2.02084027177505
67.75,64.66555230925422,-3.084447690745776
75.18,74.64517160861612,-0.5348283913838827
82.98,82.6912349584129,-0.2887650415870979
87.49,87.90869578924111,0.41869578924111295
86.87,87.79477820256932,0.9247782025693141
86.09,81.9408687438197,-4.149131256180297
81.39,80.6960757053657,-0.6939242946343
72.96,75.14723147044657,2.1872314704465765
72.18,69.47249184392622,-2.7075081560737857
72.93,69.07758781681908,-3.852412183180931
75.28,70.47180517900944,-4.808194820990565
75.25,75.24382734359656,-0.006172656403435894
74.96,80.20679061542717,5.246790615427173
78.34,79.51032836390017,1.1703283639001683
86.79,80.75151617294327,-6.038483827056737
82.48,82.94840590350572,0.46840590350571176
77.47,80.64778321240348,3.177783212403483
73.54,73.08534118052359,-0.45465881947642117
58.28,70.0526279319809,11.772627931980892
58.7,60.67653160234761,1.976531602347606
58.45,60.89163109359863,2.4416310935986303
56.19,61.12628385799053,4.9362838579905315
54.87,59.10651963630903,4.236519636309033
60.8,64.5650079078622,3.7650079078621985
73.62,68.32734897226958,-5.292651027730429
77.91,76.30898552437282,-1.6010144756271814
84.26,83.56827992173052,-0.6917200782694835
73.79,80.69510406117837,6.905104061178363
69.13,69.45628563940822,0.3262856394082263
69.28,66.11225350482854,-3.167746495171457
70.48,63.33449884043945,-7.145501159560553
71.19,64.33387207562464,-6.8561279243753575
64.14,69.70386556255212,5.563865562552124
62.77,63.41299993957854,0.6429999395785373
58.78,66.55869497969033,7.778694979690329
59.61,68.37549042058885,8.765490420588847
62.42,65.51004516468899,3.0900451646889877
69.86,67.6617024957542,-2.198297504245801
84.33,70.50256767021146,-13.827432329788536
93.72,76.66953685319541,-17.05046314680459
92.66,85.4540753051318,-7.205924694868202
89.34,89.64562328130742,0.3056232813074189
87.21,81.18241425708158,-6.0275857429184185
87.01,75.87878463717078,-11.131215362829224
81.57,81.39638028309957,-0.17361971690041855
77.17,82.71366826832498,5.5436682683249785
77.33,77.26087647022963,-0.06912352977036562
75.65,73.86308521763381,-1.7869147823661962
80.47,76.3452665256232,-4.1247334743767965
81.0,81.88017081488516,0.8801708148851617
75.51,83.10535395454806,7.5953539545480595
70.66,78.72782144424984,8.067821444249844
70.0,72.36181376525403,2.361813765254027
67.65,67.27242924059087,-0.37757075940913865
61.8,65.79858604389358,3.9985860438935816
61.05,62.704973873771706,1.6549738737717092
59.71,60.17942039537391,0.4694203953739091
68.26,61.58520843727382,-6.674791562726185
80.31,69.3585625678285,-10.951437432171502
90.17,79.70651278992405,-10.463487210075954
92.86,88.99028246594396,-3.8697175340560364
95.28,93.11073598671157,-2.1692640132884264
95.08,90.22614033930176,-4.853859660698234
74.28,89.982879848935,15.702879848934998
74.49,76.19056448248836,1.7005644824883603
74.45,69.10386407655807,-5.346135923441935
77.17,70.37563710518917,-6.794362894810831
61.98,78.02069823857794,16.04069823857794
59.46,74.5907493463663,15.130749346366294
48.98,65.67142913271277,16.691429132712777
52.8,64.5123816368257,11.712381636825697
59.47,63.4304143855879,3.960414385587903
75.4,69.05224940039072,-6.3477505996092844
79.12,69.0525445555907,-10.067455444409305
84.48,78.46513241675218,-6.0148675832478204
89.4,74.69212320617184,-14.707876793828163
84.11,82.7372820596356,-1.3727179403643959
74.85,76.59772629626259,1.7477262962625986
72.16,68.10394466562568,-4.056055334374321
70.85,62.726153559415735,-8.12384644058426
66.89,70.04772932491449,3.1577293249144844
67.13,67.52569227267877,0.3956922726787724
68.33,71.87567628861885,3.54567628861885
71.4,70.35460306106408,-1.045396938935923
79.1,75.05902135548878,-4.040978644511213
87.53,83.22530206022573,-4.304697939774272
