Actual,Predicted,Error
64.51,64.51,0.0
69.95,69.95,0.0
92.79,92.79,0.0
109.66,109.66,0.0
116.5,116.5,0.0
124.21,124.20999999999998,-1.4210854715202004e-14
123.45,123.44999999999999,-1.4210854715202004e-14
120.31,120.31,0.0
108.75,108.75,0.0
97.8,97.8,0.0
88.1,88.1,0.0
81.64,81.64,0.0
83.82,83.82,0.0
85.14,85.14,0.0
90.41,90.41,0.0
105.33,105.32999999999998,-1.4210854715202004e-14
108.1,108.1,0.0
114.92,114.91999999999999,-1.4210854715202004e-14
112.2,112.19999999999999,-1.4210854715202004e-14
114.65,114.65,0.0
107.47,107.47,0.0
92.59,92.59,0.0
90.64,90.64,0.0
84.32,84.32,0.0
88.05,85.49330588504506,-2.5566941149549365
116.13,93.89596877675564,-22.234031223244358
127.02,114.79916125535937,-12.22083874464063
133.68,127.6353541876434,-6.044645812356606
139.93,135.34170733627624,-4.588292663723763
144.17,136.17105786807036,-7.998942131929624
148.35,133.41211761101064,-14.937882388989351
127.28,128.6631787389017,1.3831787389017052
121.23,111.45092260133524,-9.779077398664768
110.23,107.79210709592371,-2.4378929040762927
106.87,98.05866754853218,-8.81133245146782
94.48,95.63843796476618,1.158437964766179
106.37,97.78491161183356,-8.58508838816644
107.4,105.8508266413234,-1.5491733586766117
113.35,116.05249620227588,2.7024962022758814
117.2,120.588394154182,3.388394154181995
128.94,123.98655038551405,-4.9534496144859474
120.38,119.7140379019549,-0.6659620980450995
116.13,108.17654637643815,-7.953453623561842
109.22,103.10479770070751,-6.115202299292491
98.69,100.835533396396,2.1455333963960044
89.56,91.56736779540653,2.007367795406523
89.11,87.96699094276659,-1.1430090572334137
88.72,95.82803182497597,7.108031824975967
96.58,106.08327008850618,9.503270088506184
114.2,110.27108230074276,-3.9289176992572408
129.62,123.44922034109021,-6.170779658909794
138.29,138.23530856152536,-0.054691438474634424
139.0,140.77127667513977,1.7712766751397737
140.76,135.1428363075407,-5.617163692459286
138.09,131.06054036911712,-7.029459630882883
128.08,128.83609312718107,0.7560931271810603
119.64,116.68457455350631,-2.9554254464936918
118.42,110.52994472643664,-7.8900552735633624
115.75,109.86842645294374,-5.881573547056263
117.98,111.88317152033378,-6.096828479666229
119.77,116.47126749331497,-3.2987325066850275
122.38,124.51147716693399,2.1314771669339905
124.24,128.63584056706122,4.395840567061228
127.7,129.16479431505343,1.4647943150534246
131.93,126.56997577325942,-5.360024226740592
126.64,122.8107394507681,-3.829260549231904
115.03,112.04998605604956,-2.980013943950439
106.94,102.79377612855167,-4.146223871448328
96.86,99.69706372249463,2.8370637224946336
78.79,95.73582932117395,16.945829321173946
85.95,89.30491699804972,3.354916998049717
90.63,97.16862027729337,6.538620277293376
110.53,108.041432223517,-2.488567776482995
123.91,120.91865611737126,-2.9913438826287404
135.9,131.83565830373112,-4.064341696268883
147.86,136.80864229248687,-11.051357707513148
151.05,142.23084961766043,-8.819150382339586
142.58,138.3615681565953,-4.218431843404716
136.63,133.72822740416441,-2.901772595835581
120.57,127.5626890133293,6.992689013329311
113.02,114.94250337918629,1.9225033791862955
112.61,109.2797003005424,-3.3302996994575977
109.12,111.56188807145784,2.4418880714578393
112.92,113.28633365601152,0.3663336560115198
114.77,118.21931860401688,3.449318604016881
124.24,126.2668265020493,2.0268265020493033
123.66,136.3574388258452,12.69743882584521
119.88,129.34428265627835,9.464282656278357
114.5,116.07867630773904,1.5786763077390447
102.28,108.60784024803314,6.327840248033141
83.24,94.59254880419957,11.352548804199571
74.97,81.14771911107786,6.177719111077863
73.27,75.15049960461941,1.8804996046194162
73.56,81.02848258241235,7.468482582412349
82.42,87.61094771880582,5.190947718805816
100.85,99.85845225941543,-0.991547740584565
114.28,114.79347813996802,0.5134781399680151
133.14,125.43494817908817,-7.7050518209118195
135.18,133.40486227766434,-1.7751377223356712
133.42,136.16875819050546,2.7487581905054697
125.85,129.20520387857675,3.3552038785767593
121.81,121.17161231032816,-0.6383876896718448
117.91,115.80295470260651,-2.1070452973934835
116.25,111.83773045207322,-4.412269547926783
117.44,108.09357456842301,-9.34642543157699
118.35,110.7262659118283,-7.6237340881716875
120.25,117.50522565315768,-2.74477434684232
128.12,124.19619584089068,-3.9238041591093236
123.12,130.53436656114295,7.414366561142941
117.91,127.95195807638035,10.041958076380354
108.05,120.23550492590101,12.185504925901014
97.32,107.20844171595168,9.888441715951686
88.29,91.95936588488789,3.669365884887881
82.04,80.36617534418477,-1.6738246558152383
78.16,76.64694112859732,-1.5130588714026771
138.12,80.15379603413236,-57.96620396586765
145.43,113.86520674117415,-31.56479325882586
146.52,131.6635736758246,-14.856426324175402
153.42,140.08693436539332,-13.333065634606669
139.98,144.65956795197113,4.679567951971137
133.45,136.29923835520327,2.8492383552032834
129.97,132.4611254956494,2.4911254956494133
124.89,125.57402591286373,0.6840259128637314
117.34,120.49727936299686,3.15727936299686
113.29,110.8250862125702,-2.4649137874298077
115.26,110.47130289201867,-4.788697107981335
116.68,122.49841022187007,5.818410221870067
125.93,120.48112441234497,-5.4488755876550385
131.38,128.87475182498812,-2.5052481750118716
122.79,138.4745515083335,15.684551508333485
110.68,132.22302777802253,21.54302777802252
106.21,108.30609415192491,2.096094151924916
95.84,93.73926788063068,-2.100732119369326
90.59,91.23116873076118,0.64116873076118
91.14,90.67024390244231,-0.469756097557692
94.93,89.68737924978416,-5.242620750215849
97.58,99.0341927549303,1.454192754930304
114.48,107.44372292266837,-7.036277077331633
137.95,125.65444087403768,-12.295559125962313
140.47,141.14639435468234,0.6763943546823441
145.67,144.171003028305,-1.498996971694993
141.88,143.5886100892995,1.7086100892994978
152.48,139.0051980717403,-13.474801928259694
125.24,140.21070460439424,14.970704604394243
117.44,123.68498071029614,6.244980710296147
103.19,113.49272284223775,10.302722842237756
103.08,109.05233366854634,5.972333668546341
104.71,104.02901245531811,-0.6809875446818836
104.28,111.23599945635462,6.955999456354618
104.34,116.5420287076216,12.202028707621594
115.3,121.3654103281898,6.065410328189799
119.53,120.32007574650063,0.7900757465006336
107.97,120.84750669142284,12.877506691422838
101.77,109.00543052382682,7.235430523826821
89.68,92.03838622780945,2.358386227809447
91.11,81.79821470211859,-9.311785297881414
79.69,86.90008012766626,7.210080127666259
66.83,86.79493586165313,19.96493586165313
69.19,79.11838437882736,9.92838437882736
66.23,83.43354393217552,17.20354393217552
66.66,90.91370308237867,24.253703082378678
67.57,97.41603838155591,29.846038381555914
76.74,92.92669065741383,16.186690657413834
99.13,93.2436034600104,-5.88639653998959
94.03,103.70321451965528,9.673214519655275
79.33,104.72713339665512,25.39713339665512
66.51,87.56383980913463,21.05383980913463
56.48,77.39339851217109,20.913398512171092
56.37,69.72553063927849,13.355530639278491
61.74,71.74244392987671,10.002443929876712
68.89,70.12640215406186,1.2364021540618637
86.45,73.25736570917869,-13.192634290821317
93.67,84.21530587563603,-9.454694124363968
95.02,100.13228658675169,5.112286586751694
92.58,105.2371541274773,12.657154127477298
89.79,95.27499085010055,5.484990850100544
79.6,89.4985505800287,9.898550580028711
76.07,85.08154004734858,9.01154004734859
71.59,78.66695125027192,7.076951250271918
71.17,68.33417862013441,-2.8358213798655925
68.78,59.382325492958365,-9.397674507041636
66.56,68.45485708377473,1.894857083774724
73.34,75.31825316030579,1.9782531603057834
77.89,76.59687127943033,-1.293128720569669
86.32,82.10710120301641,-4.2128987969835805
84.02,89.58549172410487,5.565491724104874
82.15,90.27141850780284,8.12141850780283
76.76,80.5873328949636,3.8273328949635896
69.41,70.91141718672964,1.5014171867296398
63.41,63.75499190794419,0.3449919079441912
57.08,63.86465269835856,6.784652698358563
55.95,60.21498471162047,4.264984711620464
57.94,62.76960816515122,4.829608165151221
67.75,66.15324141512255,-1.596758584877449
75.18,73.83668207473349,-1.3433179252665184
82.98,80.58116421402764,-2.3988357859723664
87.49,86.41637834473643,-1.0736216552635653
86.87,89.51863096862698,2.648630968626975
86.09,88.10591864838489,2.0159186483848828
81.39,82.14751735059605,0.7575173505960464
72.96,77.0629256979986,4.1029256979986
72.18,71.68568888380466,-0.4943111161953482
72.93,68.25135191742709,-4.67864808257292
75.28,68.28506797861009,-6.994932021389914
75.25,72.10271002401903,-3.147289975980968
74.96,75.48855319999572,0.5285531999957271
78.34,78.98517131278581,0.6451713127858056
86.79,84.01364792790622,-2.776352072093786
82.48,87.01622628414852,4.536226284148512
77.47,83.93354753853559,6.463547538535593
73.54,76.07844509334242,2.5384450933424176
58.28,70.06926894555995,11.789268945559954
58.7,59.06532636958259,0.3653263695825899
58.45,57.87661081048903,-0.5733891895109764
56.19,59.74862519161102,3.5586251916110214
54.87,61.71917022897743,6.849170228977435
60.8,64.60176803083924,3.8017680308392414
73.62,69.89933919160426,-3.720660808395749
77.91,78.57494267706,0.6649426770599973
84.26,79.6770855898302,-4.582914410169806
73.79,82.91757294888455,9.127572948884549
69.13,80.23451551599584,11.104515515995843
69.28,72.54563659534034,3.2656365953403395
70.48,69.2271113530314,-1.2528886469686
71.19,66.96121822115252,-4.228781778847477
64.14,68.90810312191746,4.768103121917463
62.77,64.20919393245785,1.4391939324578473
58.78,65.10991639146309,6.329916391463087
59.61,64.76652680934545,5.156526809345451
62.42,64.073548515026,1.653548515026003
69.86,67.58881123634869,-2.2711887636513097
84.33,72.98477523128275,-11.345224768717245
93.72,79.68045923561635,-14.039540764383645
92.66,81.44077290504453,-11.219227094955471
89.34,79.59150011631475,-9.748499883685255
87.21,78.72732239506368,-8.482677604936313
87.01,78.40087978070684,-8.60912021929316
81.57,77.88724094310454,-3.682759056895449
77.17,75.20709330741138,-1.9629066925886178
77.33,72.77379006713026,-4.556209932869734
75.65,73.71017457659077,-1.939825423409232
80.47,75.32877637001091,-5.141223629989085
81.0,81.71013456744059,0.7101345674405906
75.51,82.72850908289573,7.2185090828957215
70.66,79.73244854076673,9.072448540766729
70.0,76.16484824312732,6.164848243127324
67.65,73.14448217452698,5.494482174526979
61.8,68.67801641527058,6.878016415270579
61.05,59.97300015960565,-1.0769998403943504
59.71,59.534370778928164,-0.1756292210718371
68.26,62.71515106298158,-5.544848937018422
80.31,69.15619199997735,-11.15380800002265
90.17,78.0421298641587,-12.127870135841306
92.86,87.61172370521257,-5.248276294787431
95.28,93.27812697913205,-2.001873020867947
95.08,95.79795217144687,0.7179521714468677
74.28,95.47954192138474,21.199541921384736
74.49,82.73042629141565,8.240426291415659
74.45,75.48348881276257,1.0334888127625703
77.17,73.0330234141108,-4.136976585889201
61.98,73.49546163236516,11.515461632365167
59.46,69.98893245670385,10.52893245670385
48.98,65.43639248888397,16.45639248888397
52.8,63.48618499394922,10.686184993949226
59.47,63.743567183249404,4.273567183249405
75.4,68.68758515096485,-6.712414849035156
79.12,73.66357544598068,-5.456424554019321
84.48,73.70223194400597,-10.77776805599403
89.4,73.74376666027322,-15.656233339726782
84.11,80.56978787530032,-3.5402121246996785
74.85,77.1773132771605,2.327313277160499
72.16,71.03307158084789,-1.126928419152108
70.85,71.65524165683118,0.8052416568311855
66.89,75.25495039613367,8.364950396133665
67.13,68.86336238672965,1.7333623867296524
68.33,66.36232786488158,-1.9676721351184199
71.4,72.38792607887146,0.9879260788714532
79.1,76.80851483218652,-2.2914851678134767
87.53,81.41368108237961,-6.11631891762039
87.13,86.42677383474893,-0.703226165251067
79.39,87.15770162296337,7.767701622963372
