Actual,Predicted,Error
69.95,69.95,0.0
92.79,92.79,0.0
109.66,109.66,0.0
116.5,116.5,0.0
124.21,124.21,0.0
123.45,123.45,0.0
120.31,120.31,0.0
108.75,108.75,0.0
97.8,97.8,0.0
88.1,88.1,0.0
81.64,81.64,0.0
83.82,83.82,0.0
85.14,85.14,0.0
90.41,90.41,0.0
105.33,105.33,0.0
108.1,108.1,0.0
114.92,114.92,0.0
112.2,112.2,0.0
114.65,114.65,0.0
107.47,107.47,0.0
92.59,92.59,0.0
90.64,90.64,0.0
84.32,84.32,0.0
88.05,88.05,0.0
116.13,99.96207998496581,-16.167920015034184
127.02,110.85367610812096,-16.16632389187903
133.68,126.73079483790949,-6.9492051620905215
139.93,135.20195379292295,-4.728046207077057
144.17,137.10551190537655,-7.064488094623442
148.35,130.96596812709066,-17.384031872909333
127.28,127.10142391351158,-0.1785760864884196
121.23,119.09995686886825,-2.1300431311317567
110.23,104.66660762694534,-5.563392373054668
106.87,98.92611526801095,-7.943884731989058
94.48,93.72046762596203,-0.759532374037974
106.37,95.91122539196124,-10.458774608038766
107.4,110.34534572680417,2.945345726804163
113.35,116.71158672573358,3.361586725733588
117.2,119.00808644234642,1.808086442346422
128.94,120.2188923651446,-8.7211076348554
120.38,116.29054380933863,-4.089456190661366
116.13,118.00977782022167,1.8797778202216762
109.22,105.12482279311527,-4.095177206884728
98.69,94.09993498775903,-4.59006501224097
89.56,91.25335186717591,1.693351867175906
89.11,94.4293934630817,5.3193934630816955
88.72,94.50045074756038,5.78045074756038
96.58,106.04117223088674,9.461172230886746
114.2,113.68424936529414,-0.5157506347058671
129.62,127.7324212945793,-1.887578705420708
138.29,133.55665492044173,-4.733345079558262
139.0,142.12926912610004,3.1292691261000414
140.76,139.25270646226392,-1.507293537736075
138.09,133.05828392456613,-5.031716075433877
128.08,125.14130941564882,-2.9386905843511926
119.64,116.97720451237309,-2.6627954876269087
118.42,112.06984037878998,-6.350159621210025
115.75,109.32042002875016,-6.4295799712498365
117.98,110.50346920790346,-7.47653079209654
119.77,116.63007118818103,-3.1399288118189617
122.38,123.9263524133314,1.5463524133314053
124.24,128.14557234465056,3.9055723446505652
127.7,127.66241248697273,-0.03758751302727603
131.93,120.1895442915991,-11.740455708400901
126.64,116.83743361745994,-9.802566382540064
115.03,112.57351811944125,-2.456481880558755
106.94,103.02027422850065,-3.919725771499344
96.86,93.37104505631787,-3.488954943682131
78.79,89.94111724825606,11.151117248256057
85.95,88.247579325745,2.297579325744991
90.63,95.1449401419984,4.514940141998409
110.53,103.3772776684776,-7.152722331522398
123.91,117.29352244147995,-6.616477558520046
135.9,130.11797853680685,-5.782021463193161
147.86,139.94169537074958,-7.918304629250429
151.05,145.85376441187185,-5.196235588128161
142.58,144.80197136712337,2.221971367123359
136.63,137.34309092764744,0.7130909276474426
120.57,129.76261634203695,9.192616342036956
113.02,119.68118288112942,6.66118288112942
112.61,106.68837646503113,-5.921623534968873
109.12,107.63360378444546,-1.4863962155545494
112.92,110.54900224630289,-2.370997753697111
114.77,123.68404594877413,8.914045948774131
124.24,126.94428614874516,2.704286148745169
123.66,127.2305934188797,3.57059341887971
119.88,126.8274010947415,6.947401094741508
114.5,120.99562954209219,6.495629542092189
102.28,106.94906501363062,4.669065013630615
83.24,94.69006972018654,11.450069720186548
74.97,78.89642557928126,3.9264255792812577
73.27,72.70870420261691,-0.5612957973830817
73.56,80.76613747118472,7.206137471184718
82.42,91.91838115051532,9.498381150515314
100.85,106.70179333491734,5.851793334917346
114.28,119.51203594457631,5.23203594457631
133.14,131.87767024018945,-1.262329759810541
135.18,141.3473816278098,6.167381627809789
133.42,141.36760029593205,7.947600295932062
125.85,137.3026771809412,11.452677180941208
121.81,129.1980026432918,7.388002643291799
117.91,116.17501604801288,-1.7349839519871182
116.25,109.60794684504026,-6.64205315495974
117.44,109.5974945070808,-7.8425054929192015
118.35,115.04807043308227,-3.301929566917721
120.25,122.63550563544948,2.3855056354494764
128.12,125.32090165508151,-2.799098344918491
123.12,128.2961865061922,5.176186506192209
117.91,130.48648065225262,12.576480652252627
108.05,119.58537924490878,11.535379244908782
97.32,106.58214842131127,9.26214842131128
88.29,93.23698315527068,4.946983155270672
82.04,81.84521155131864,-0.1947884486813649
78.16,75.34284945560476,-2.8171505443952327
138.12,77.09748132304227,-61.02251867695773
145.43,96.66067914929161,-48.7693208507084
146.52,127.28713241527754,-19.23286758472247
153.42,150.82582705385462,-2.5941729461453633
139.98,157.53701404507,17.55701404507002
133.45,145.96979004448258,12.51979004448259
129.97,132.7069233216021,2.7369233216020916
124.89,121.36256027197938,-3.5274397280206244
117.34,113.61230245064951,-3.727697549350495
113.29,109.92774336760907,-3.362256632390938
115.26,106.77672336351085,-8.483276636489151
116.68,104.63239492898225,-12.047605071017756
125.93,132.2116135025694,6.2816135025693995
131.38,136.95599952575276,5.5759995257527635
122.79,132.45009228978932,9.660092289789318
110.68,124.66521337646557,13.985213376465566
106.21,106.99073596665446,0.7807359666544613
95.84,100.66238929585268,4.822389295852673
90.59,88.78697053437037,-1.8030294656296348
91.14,77.91999986684561,-13.220000133154386
94.93,87.30271788057091,-7.627282119429097
97.58,97.5338701803908,-0.04612981960919171
